"
 Project Review Schedule                ",newsfile/20180607131437_ProjectReviewSchedule.pdf
"
 Online Registration for Law Admission - 2018                ",http://128.199.210.168/sbu_law
"
 Online Registration for B.E. / B.Tech. / B.Arch. Admission - 2018                ",http://128.199.210.168/sbu_engg/
"
 2nd Global Conference on Computing and Media Technology in association with Asia Pacific University, Malaysia                ",http://gcmt2018.com
"
 Reopening Dates for the Academic Year 2018 - 2019                ",news_detail.php?newsref=1423
"
 Applications for the post of JRF in Center for Nanoscience and Nanotechnology                ",news_detail.php?newsref=1418
"
 Online Registration for P.G. Courses.                ",http://128.199.210.168/sbu_pg
"
 Online Registration for U.G. - Arts & Science Courses.                ",http://128.199.210.168/sbu_ug
"
 Sathyabama Dental College and Hospital will be offering Master of Dental Surgery (MDS)Programme,approved by Dental Council of India & Ministry of Health and Family welfare from 06.03.2018.                ",newsfile/20180306081125_IMG_20180306_0002.pdf
"
 B.Com., Professional Courses from the academic year 2018-2019. Specialization in Financial Accounting and Cost and Management Accounting                ",newsfile/20180507040422_B.Com_Professional_Course-Brochure.pdf
"
 Admission Notification for M.Sc(Medical Biotechnology and Clinical Research)                ",newsfile/20180124144129_M.Sc_Medical_Biotechnology_and_Clinical_Research-Bro.pdf
"
 Student Help Desk                ",news_detail.php?newsref=1348
"
 Class room allotment for final years w.e.f. 11.06.2018                ",newsfile/20180608033517_Final_Year_Class_Room_Allotment.pdf
"
 End Semester Examination Results (Passed out batch - UG/PG)                ",http://128.199.210.168/semesterresults/login.php
"
 Academic Calendar 2018-2019 (Final Year)                ",newsfile/20180607132559_AcademicCalendar_2018-2019.doc
